field1,field2,field3
6844,1565,ULuJq
8828,8566,jDP
8204,7714,Pel
9665,8493,Fmx
5639,2129,ZtS
8705,1330,gNHa
3578,2743,FYs
4330,3359,zzP
4478,3658,"CR "
248,3710,SvKs
4700,6137,rZyT
9206,5316,lA
5683,308,Uj
3031,4284,NaFYj
701,5072,bf
7365,6081,uzO
3718,4040,BKNg
2236,7456,LwlOg
8008,7984,ptj
2686,6137,APfSa
6823,4653,VdeYd
8845,9571,wpPtR
4769,3043,JBh
3489,7799,QqE
4903,6751,AemU
5212,3619,Bb
8545,4606,CtW
1792,7688,hgLD
7062,8714,WP
9886,6145,onCri
686,2434,lIZe
1327,8091,QLqw
5631,6678,vbNvP
8290,9449,WdW
4685,8823,ACV
5576,5002,Cxz
5447,4581,Zx
8363,8155,BeZ
8835,9491,WSuuD
3221,4328,yloB
1483,7904,pcdwS
9761,3705,bWQz
2517,2012,djFeE
5135,4972,NzAUw
585,9140,Ey
1969,7587,NxApx
9215,1130,Pm
8927,5249,r Xg
8827,3169,Bay
1171,6416,hIMQ
5069,8231,tu
7905,5198,rw
1213,6296,AJEX
8007,8848,wbqH
4406,4548,hW
3549,8632,LFx
6650,1527,Bna
8559,8320,JSmu
1332,3880,JCK
1320,5629,dqLmM
7948,8602,Bydx
5582,8009,Rg
3802,3060,LKOV
2757,68,aV
6199,5097,zbTt
3365,6569,zCKu
5220,1254,vcID
7109,4138,YFm
4549,9257,MkF
6247,8202,wYkDx
8212,3502,KTMX
7693,6624,YoaFB
6642,9071,KNUh
7894,4759,xKFn
5872,5553,bLKA
2368,5222,xF
2272,2304,II
3987,80,ddyaX
4579,3813,rmkoV
3562,143,rYeW
3177,8726,iEiM
1301,3289,ZZcZn
126,8179,apKv
283,683,Hayih
826,4954,ORDH
3823,7945,NlB
9829,3379,uWcc
6012,7588,sor
7600,5704,cyfwh
1260,2881,Hg
5758,6564,UFGB
2834,8634,xGa
2414,7640,YI
8316,415,STU
967,4597,Pb
8838,5935,gLYOG
7963,8112,aAPl
8979,8675,nqlYU
4645,8112,LXK
1570,3227,dG
2669,8227,safjj
6015,8608,bP
6234,6118,Bioro
4590,5483,cnbhG
6370,4194,hLgF
6607,1597,CpV
9979,6555,OxK
5276,3118,nh
1101,5230,ARqNi
8996,878,hTFOf
4062,9536,DJCm
9790,7497,Rzggc
619,1239,IQ
4350,7753,eciNk
1692,101,OXa
2865,6547,Lznz
7773,3206,BWuam
6803,8271,iJcIP
1756,8980,VjM
5757,4015,rfR
9528,2446,nRb
3211,4340,eNR
7630,1738,aArZ
7734,7684,lasp
606,3406,HiMy
4965,8258,uEMmR
3269,5043,Qo
9246,2988,CPaHs
7898,9420,VAC
4527,4181,"BBQw "
5796,5898,OmX
2349,1492,lrKP
6580,6215,QEM
4334,4615,OWDdy
371,3780,Zw
6262,195,jew
4937,1115,YBZWs
5624,5622,QeXw
2883,2545,hjQSt
5745,1153,ThrH
5264,3711," v"
193,6189,gznL
8681,2032,cQrrW
5131,290,ezFT
8907,8578,NglIb
4052,9263,tu
153,1247,XAG
7,2161,sRlk
3376,8374,PdGZ
9182,1534,rT
2500,118,xljj
2618,3936,PL
2549,2641,AN
5348,4361,OG
5018,5880," ZGT"
6916,417,eUypO
8401,5276,ov
4443,9436,SRas
4885,6504,Fmlo
7,3689,TNejX
6576,5347,xl
8572,2021,YIYn
549,3055,jDfc
6557,1258,YIsEt
2135,6241,IAnB
9188,1960,HWR
3467,8694,mIe
5986,5209,vUlDi
3135,824,pHSO
2408,7040,ynl
9415,9947,NQvum
2741,8445,jgTjw
58,6240,Una
2924,3498,basew
1668,6175," uK"
8622,9809,jVOp
362,5721,Yg
5861,8917,aP
6145,8879,YQ
755,2011,vR y
2234,4400,uEp
6493,4421,rQ
9140,2860,BBG
5180,7100,LMmyj
6666,6089,Bdril
4586,571,LY
215,2013,kI rU
1502,9439,svc
7055,7508,eB
4978,7225,IkXt
4944,7394,iJ
4034,4384,KYt
909,3078,Tb
2973,4313,tta
5001,8886,P ToR
4202,1992,cYMQ
807,2815,kpb
2863,6693,WG
1831,4598,Em
7830,9904,rQb
1861,403,HtXW
2096,1704,cEcXX
2009,2086,VRw
8461,5698,wf
2381,6717,cYDU
1949,2471,EdJbw
5726,9153,qvKkE
7301,6371,EA
8898,6151,dw
6105,4609,GTu
4384,2204,Ccs
1770,1260,lC
8826,6360,moA
1,4509,yqWIE
1782,1537,"WFe  "
3297,6306,ObvdQ
4500,468,DHh
857,1810,IX
1772,1213,Nrn
5641,9147,oJT i
2599,4193,Lf
503,2361,Rjn
3751,7671,Dy
7540,7945,ITi
9649,3065,zmEc
9397,8156,FISO
9645,3602,FiKSG
2013,9467,cuiW
1241,2011,AX
9818,797,dyf
1303,9128,gMn
8638,8828,"SX "
7126,956,BsL
903,8426,oMsST
9410,1425,dVT
6275,1874,Chr
3434,1757,OGC
3868,8343,KQ
5147,1730,lkmKU
5322,3569,Ob
5423,1623,ysLC
8930,2987,RykF
7863,9097,hDk
988,8250,RsV
9810,6927,wiJi
4335,410,PNen
7440,2479,tgP
125,4511,tycX
5450,7262,ds
3255,6370,Xt
5446,9278,jmc
6867,7048,ZTAAw
6885,603,qy
6878,1615,Ll
6072,2870,awqF
9674,3227,UCgHk
9552,1626,"iRD "
5520,2875,VSO
4435,4888,Kdced
8999,4412,oosSE
4261,7556,gO
2357,9319,TsihF
3973,2833,srhrr
9319,9571,cg
6592,4800,tphQ
6311,3653,jKVFT
4421,4324,Vh
1884,9188,iofxc
3649,7718,zDO
917,3571,oBKre
3074,9870,yRJHq
2793,4599,uQEt
3604,7625,yC
4557,8476,GboEm
5255,4874,CR
2960,8200,zw
7661,9760,k CKM
762,7029,qs
1806,219,Pf
9027,3608,pG
1722,2483,QzTLZ
3618,1830,iD
1721,5476,OWi
2462,3046,UEF
1227,7336," x"
6299,9735,rNTId
2532,7692," NFNr"
9268,5277,Btt
5343,66,FOesF
4774,7927,"lV "
550,6113,gWVV
888,6593,KSt
1479,7540,GxRL
8356,2476,tR
7538,578,ey c
7322,8839,Lg
7897,6006,CCwR
7673,2011,nisUn
122,3527,zb
7738,9929,pTxUh
4093,4992,Hyjo
8342,6777,mVPO
4759,2282,MMWHR
1463,5305,rYT
9790,7889,dDou
424,1644,NmzNk
3009,4299," H"
2171,1687,NgVtx
6764,8011,AkNW
4669,5389,gQ
5433,1236,rDiQ
5651,2012,iWQ
4652,9433,zMz
4312,6989,wIzt
1843,4141,xsaY
282,2293,g yFb
2441,5235,FjESN
277,4423,CFo
7769,2034,QlSp
7829,3849,MmK
3444,404,dZq
9024,4240,YWp
1812,5522,MVV
1257,6180,Tpu
8544,841,dyX
9748,435,YL
4700,2153,uf
7549,6524,UPap
8190,9365,WB
7864,6726,HMqGx
3144,9172,lbiI
9981,3199,waeFC
5557,262,vClak
2289,4567,Iz
4823,9239,Wr
5126,1728,HQht
1743,8806,ys
3870,5120,JB
8683,947,VqND
1947,7675,HsH
3870,6633,Ujg
8866,3101,XbN
1680,6314,nf
588,5725,Orh
7700,6909,jV
989,5030,BYek
1967,1455,YpiOB
5380,2928,xmz
9029,9458,VVFJo
6006,8765,qrNvE
6468,3337,DQ
8670,8721,JbqHy
641,4987,HON
1351,7933,CJRme
5125,198,WeM
2613,8550,Qn
529,3125,JEkkg
3755,1843,Hz
237,7968,Iy
4577,3257,OYw
8721,3353,bluPO
2166,9477,l xGO
2376,8707,XBrgL
8591,9968,VxKe
1307,1653,bad
7102,5874,hgq
6087,4461,Gyiw
6585,3603,br
5444,4199,lQp
5900,2141,Au
2849,816,dYWqS
1751,4148,QSukZ
8812,97,BB
537,9670,dLJs
5408,8898,La
7319,1039,Bdd
3242,1488,obqz
1512,8838,fx
8259,6456,pHnOV
4955,6828,mUYE
5732,4026,cD
633,4143,Yy
5637,5724,LPhMM
2444,9292,s lc
5527,8161,"LFmM "
2818,1463,fDU
2387,6905,dqSj
1031,3196,lwQ
47,5498,etSRy
1052,8260,bxZ
7339,590,Ar
8144,4180,sG
490,4819,GZe
8585,6268,ln
5098,8926,BBJi
297,1799,Bfos
4718,9499,qNKJi
2208,2708,Sr
8322,3915,bDwAE
9849,3245,aVaEm
9320,4420,QgPN
5774,4652,YdJP
8589,4453,nXvoY
5281,5431,SV
5275,3287,hE
3479,4893,Dfn
8431,7244,hz
5696,702,re
2318,5388,eyNb
3442,6462,OxOD
863,7534,DLGb
5648,2498," he"
9351,2043,lSCob
7930,4015,lfTJr
3072,1543,yYbY
5651,5276,czqAT
6930,6092,tb
2736,2156,VmVK
660,6872,Ps
4190,771,pXlt
4311,7858,WdDB
1655,910,Kri
3386,3152,Xvr
777,9770,epN
308,8386,zR
5748,8075,ov
8956,7043,tINg
4901,2952,Nsi
1340,7135,LYlb
622,3085,KnL
1118,9688,TB
6024,9307,iviKn
6424,4344,bsL
3712,5686,du
9885,8972,GnKJL
4397,2976,entxO
6499,7789,zy
2241,9532,IhGHv
177,1151,SLXMW
5538,896,WPB
2554,9459,Vii
6180,9546,zt
9812,739,wB
2402,1571,KJPP
1367,9946,YQi
4633,9399,CiQ
1351,267,rmM
7856,2886,V Rq
1536,127,QX
9392,2111,AZ
1998,6421,ji
1494,8636,zt
5471,2068,nQJ
3553,8209,sv
6108,9088,YfaD
9079,9883,SrZp
8791,6792,SKS
9853,222,pzR
2063,48,oRfQ
2484,9190,zh
247,7138,qnSHu
9838,110,uPGP
9111,4266,iJHOl
6206,8314,WT
8731,7582,uAN
1950,5392,QlCh
1073,775,ImR
8001,9033,jIfkX
9709,3947,Ylomv
6988,5080,AN
1686,790,iFM
3876,379,At
9285,6496,RM
4680,5463,FARNL
771,2005,vuwRm
2250,8844,DVB
8488,2981,cmJ
2138,3321,wR
7540,880,QMIws
530,8764,aJSF
3539,33,UpjW
5194,9190,qTi
7200,9020,nk
9429,8754,JZki
8879,6875,eErt
5094,534,FNxD
8044,6649,hYRBY
5753,6141,zBE
9897,1435,Ppp
3874,5352,scdlT
657,8895,yC
211,4651,MBy
1153,6812,thm
9121,7783,AcC
3792,3113,Mh
939,8128,uJI
4638,6085,qaexE
9389,7196,CkvQ
4722,8192,UlL
103,867,Ghf
7099,352,VZLv
3516,56,"yhj "
6962,9717,GkS
3916,3099,KJ
9877,832,lZ
4916,1155,sX
7817,2070,pvD
8288,3256,PjxXH
538,4008,WZ
3895,7405,ni
350,6459,WmT
3439,1234,kF
8967,3872,Lzm
8089,7533,HWrn
5670,5070,hTE
4491,1792,pid
1244,7797,sqYI
1668,2987,EWj
5967,8714,dVqmA
3387,2389,XsgDk
4891,4713,S edv
2129,7917,XmcE
6007,6435,Tt
1097,5500,Wh
6481,3733,SpGVl
4437,3762,YK
1076,7467,bMXHG
4695,304,q f
8463,5814,kK
1022,2489,Dnq
3608,4818,Ceylr
8736,8396,gxHJ
6747,8363,Okpw
4237,5530,CwMZC
8112,7699,TGvc
835,2620,SnP
9209,4119,"i "
2544,8115,lQ P
5301,8954,vOxK
3801,8826,ndUx
2727,1856,eEf
4861,1873,sRsfK
2577,9300,mtsi
9516,6473,sv
8326,1112,gHC
2051,9704,RgT
5656,9785,Ioe
4131,5833,fn
8598,5814,OQ
8683,3313,lIZ
7963,9876,LC
7163,1448,AmoK
1234,1965,pIC
5565,5969,Yw
518,5481,NwRqT
4761,28,Bvb
7654,2818,ETwzX
878,6251,NdTPj
4803,6002,MGvXc
376,8001,kf S
9255,5577,vX
2294,3702,HYFwk
9785,370,KQgn
2466,3867,hx
3389,7104,kk
4817,724,uwH
6078,5262,OvqV
5028,1859,mj
2757,3837,jmCS
8464,2464,fSjui
8086,9864,ug
3830,8836,CO
9663,8369,qMYi
6173,2351,IpQxx
5745,9034,LiQf
3736,7530,HZ
4992,5601,MZT
2096,2541,GSDI
622,886,RLd
5224,3918,K Q
4867,718,DpbCm
6693,4570,GZmaz
729,1432,In
2088,9376,WDK
456,1088,UJ
8614,8939,guIuk
7106,777,ob
6307,8179,vGkZQ
8569,8875,muoW
3790,2645,wgMvU
4556,865,"j   "
2005,2807,Blnmp
624,2933,uoWKI
3661,7516,QiVBl
1245,7439,pFsJc
8639,6614,Lk
2143,2889,st
3480,531," CTO"
1997,713,Ud
6391,3231,bi
352,9570,y lj
2292,8279,JKR
4908,2763,bcmX
681,3329,YSYdu
8925,3127,SvpzA
7693,3665,xj
7567,5219,lYksr
4589,1052,wxg
8926,7033,UpeKB
9292,8319,OH
2594,924,YAAbL
7626,5633,iCdAP
2569,9678,Na
7576,2378,o YOE
2736,1063,IH ln
6130,9598,qE
4538,2714,IMS
2891,554,ZRSqu
8711,1434,y E
3541,317,bvvT
9570,2850,sBo
8567,8444,zER
3150,7497,YUG
5990,6455,LWCk
6888,7153,CBP
2823,6265,Vn
9000,2870,iAD
9287,5924,mE
1663,392,cNgk
4484,6675,yatEp
3885,2352,WBRcv
440,3717,gcUkW
5290,2017,mBBEo
9749,8961,jxu
2020,2935,CL
9063,7188,tLByb
4203,6178,TfXW
5022,2307,RDsA
4973,9040,IMfn
8759,9526,qNPnp
774,3024,PVPX
1517,2421,mgRs
1140,6322,fSq
7225,3125,oL
7263,5289,WtdM
7260,2998,Hwvu
3034,803," U"
581,3981,WPZ
1030,7160,FTG
120,2925,yu
6619,1038,gCx
2177,8358,Jw
8124,9729,tKkju
9257,5943,SSuf
1719,3018,DkfQ
3858,418,Fr
479,587,DAXf
363,5422,oEaj
4866,7909,qVC
5768,2508,Yj
390,9497,Bf
9220,6747,VIiXv
4396,925,VxEQe
4665,1480,MP
4868,3556,Je
7118,8408,nxAQy
6519,3649,RzvNB
4546,4331,KGdh
7726,1455,uz
5165,2901,WiFaZ
3663,1446,VLg
5558,9992,lqAni
9484,8166," BxTB"
1118,9566,WPy
8205,4720,xHJUM
744,5295,oKm
2413,9100,FhMe
6012,5763,TMhzT
499,4727,AGDGI
6139,4238,Cc
4890,250,ZlqZj
1694,7898,YXO
696,4325,ObDQr
5946,4167,o xVx
1498,751,JAySa
8768,5061,yH
8027,5485,xA
2264,604,iBMr
5166,6089,"rw "
5227,7856,Un
3649,4651,KLZw
4739,5508,uV
7303,572,SYxD
1414,8814,KyJIf
3430,1391,ACVjp
7982,2541,Zql
5908,6693,Vb
6748,698,KhsU
3408,3692,PLUC
7834,1119,kDye
3542,3609,qtuDF
8367,7078,TR
3527,8433,vWw
846,1074,XzfG
648,5799,QyuzW
1083,2581,unyK
8828,2666,JA
7747,2127,kkFl
7731,3417,XF
7155,2802,HfT
29,197,LH
5224,4783,MgrIG
3540,9987,sgBo
634,860,kFziu
7568,8618,pZt
8435,2895,EjBg
5441,2808,R NQE
9058,3887,vSZC
9020,4783,hM
7970,1199,BSc
7375,3935,N J
7632,8614,OTE
7449,9786,YL
4660,5141,lSESH
8944,9797,Vkyz
1894,1390,KGVy
6885,4560,bnX
8028,6562,SaC
626,8671,BSw
3982,382,ntzg
614,7670,EgsD
323,1722,unWM
8016,8160,RiHw
1586,4614,jzRWN
7783,8237,gBtM
2008,7942,UDjk
2104,187,lc
7915,4231,IwmZC
7511,8648,CkZN
1278,328,png
5330,2821,dtT
9839,672,YJ
7417,2548,mqUqT
6429,471,oQ
2220,1268,B CX
737,2422,zhxm
3340,3940,bSQvA
1604,8779,dH
6303,2433,NJLd
4975,3215,uuc
456,4439,DUW
8051,6005,cG
7987,8384,bk
2127,3769,PyTtl
7249,3847,ArHGW
3280,1507,vs
301,3724,om
8831,3662,hebT
920,4458,sfvfv
747,3894,qsqg
6226,6646,NLD
6369,5078,LJz
1377,547,mEtX
1878,7871,KBjt
5339,1375,JrIy
2999,2741,leX
8344,2499,YX
5681,4931,YRL
5202,8987,zpc
9553,4291,POrQo
8780,4647,jNuq
8633,5670,zGQK
8507,7080,vW
2163,1625,YS
4236,1952,oLwkc
3812,8185,DNM
5042,9975,yr
7867,1234,Dy
7376,5400,mh
3984,4029,Vgnd
914,2358,Axr
6616,9463,LbRu
660,1079,cut
7015,5139,cSUC
5910,6566,JMnxM
2910,3062,qo
7839,6955,kQ
2366,8638,uyRX
3288,8501,Zum
7060,6820,Cyl
3327,322,PCpQo
8096,5857,pKsd
2255,9065,ITve
5655,1101,HWaSE
4590,3313,vTAhq
4887,1220,Udghi
6670,9742,xLMx
3551,1321,sl
4964,9178,LSH
1716,2140,SLD
738,5534,uuhy
5071,6022,KN
9372,1524,Qnhd
2322,9747,dFwxf
2329,1941,MDwku
3127,8939,zKSu
8259,6084,HxcVt
9726,5785,SxH
5129,6232,fxp
9573,4389,sxZH
8432,1330,sy
3271,5828,MWd
2226,7494,DHbL
1776,7742,SRq
7928,6142,BSvGZ
7191,4151,RceO
8642,5045,UiP
3908,279,sCRpZ
3920,1358,UZVUc
6999,5818,cBRZ
1647,9802,iPf
942,3308,feysa
7907,4296,pAf
8850,5525,mCvV
4092,2615,HFzT
1268,2541,hN
4654,5210,uaBTw
4114,6416,IFOa
1916,2293,ZUyOo
8908,1140,Gs
6109,805,vjC
6424,6761,awS
8074,7946,INOXv
473,407,oWaOk
6706,8892,PO
3354,3485,JwKE
1305,1060,jM
6490,3895,bxEBe
7821,3421,IZTQu
7438,4949,eH
4779,7650,ZmKV
5983,4821,dv
6734,8997,sTy
7300,9125,Xh
4286,6666,oip
1480,1308,pv
4389,9868,BXHZ
798,5463,mx
1899,6697,CHfM
7966,163,RQ
9590,6375,Va
6865,5298,BU
1621,4960,WitmV
6110,911,TBrX
8444,4398,TUL
1813,1265,vej
5438,3527,"wm W "
3795,517,uR
7074,2048,UGPY
4678,871,DoKn
4231,4937,hnf
8987,5946,xeu
1960,8203,MJbq
2500,3633," Sl"
34,7545,wcB
8237,8318,Htmfn
2081,2216,RyFLE
4221,669,Zoj
4064,7900,mc
5816,5749,IrvP
2519,4516,Uh
8138,5519,sSD
2633,5100,CVWv
1290,9127,FT
3080,3648,SI
6428,9910,gwVf
5077,3599,vPZkT
8245,5343,aj
7428,9174,XbRax
9732,1751,rf
1809,7980,yK
2452,9156,lgsU
8409,9506,QNFO
1996,3404,eq
1442,9510,dkhb
6289,8154,mKl
8900,5981,dv
609,6466,iHf
5620,2247,Eh
747,1987,GUDV
1200,4629,whaV
1839,2525,bdiuC
832,2306,zRrOI
9304,3888,pr
2359,3539,iSiX
6972,4646,qtpZ
2637,4631,bY
2913,6076,bZS
2199,5037,Wyi
1342,4090,eKLI
6183,7022,Pv
24,90,oBQzn
6486,2608,sj
9579,271,Qw
9552,293,HZcRi
3179,9260,XPWc
8185,5928,MK
1449,6556,An
3941,9344,cto
4243,3333,VgNOT
7302,3134,mqtDl
8288,8907,poiu
755,9715,xF
8092,6850,iUR
1313,7975,opuj
4005,6365,qP
6251,642,gL
6423,5070,onnT
5294,1978,iKBjk
3067,5469,d B
7556,7339,ft
4206,7590,iLe
6415,7260,UZpey
2858,411,jfjU
5535,1249,TNT
551,6383,GrapU
123,1253,geC
2363,1792,rNY
219,5487,dX
8030,6236,oBUqU
9445,4008,dRcX
7855,9567,JEMp
7009,1005,BEoOW
